team: , id: A1GA, name: Frantiu0161ek Kotau010dka, wiki: rainbowsix
, team: , id: ACE AcT ilsE, name: Ilse Zaldivar, wiki: rainbowsix
, team: , id: Ace, name: Stephen Beukes, wiki: rainbowsix
, team: , id: AceOfPyrite, name: Tim Leaver, wiki: rainbowsix
, team: , id: Acez, name: Matthew McHenry, wiki: rainbowsix
, team: , id: Acid, name: Tomasz Adamczyk, wiki: rainbowsix
, team: , id: Adam, name: Adam Ameiche, wiki: rainbowsix
, team: , id: AdamB, name: u00c1du00e1m Baracsi, wiki: rainbowsix
, team: , id: Adonai, name: Ignacio Ballesteros, wiki: rainbowsix
, team: , id: Affy, name: Aaftab Mohmed, wiki: rainbowsix
, team: , id: AgOnY, name: Lucian Kohn, wiki: rainbowsix
, team: , id: Aherys, name: Eric Rajot, wiki: rainbowsix
, team: , id: Alban, name: Karol Pakosz, wiki: rainbowsix
, team: , id: Aleanboy, name: Shariq Rana, wiki: rainbowsix
, team: , id: AlexPolo, name: Alejandro Polo, wiki: rainbowsix
, team: , id: Alpha, name: Victor Passarin, wiki: rainbowsix
, team: , id: AmA, name: Tim Dahmann, wiki: rainbowsix
, team: , id: AmFlea, name: Simon Davis, wiki: rainbowsix
, team: , id: Amaze, name: Toni Castro, wiki: rainbowsix
, team: , id: Amedalook, name: Vadim Laptev, wiki: rainbowsix
, team: , id: AnThraX, name: Alexandre Ausesky, wiki: rainbowsix
, team: , id: Anarki, name: Sebastiu00e1n Sosa, wiki: rainbowsix
, team: , id: Animaul, name: , wiki: rainbowsix
, team: , id: Anna Prosser, name: Anna Prosser, wiki: rainbowsix
, team: , id: Anthony, name: Anthony L., wiki: rainbowsix
, team: , id: Apple, name: , wiki: rainbowsix
, team: , id: Arms_Tina, name: Dongyoung Yang, wiki: rainbowsix
, team: , id: Aroer1na, name: Shuto Nasukawa, wiki: rainbowsix
, team: , id: Array, name: Allessandro Billy Adi Dwiputra, wiki: rainbowsix
, team: , id: Asterix, name: Alvaro Pagliaricci, wiki: rainbowsix
, team: , id: Atoomikk, name: Victor Leclercq, wiki: rainbowsix
, team: , id: Atypical, name: u00c1lvaro Bernal, wiki: rainbowsix
, team: , id: AvenQo, name: Paul Poinsinet De Sivry, wiki: rainbowsix
, team: , id: Ayver, name: , wiki: rainbowsix
, team: , id: AzN, name: , wiki: rainbowsix
, team: , id: B3RC1, name: Bertalan Varga-Molnu00e1r, wiki: rainbowsix
, team: , id: BCK, name: , wiki: rainbowsix
, team: , id: BL4NK, name: Heshan Virantha, wiki: rainbowsix
, team: , id: BLU, name: John Mullen, wiki: rainbowsix
, team: , id: BRAVE, name: Luis Flores, wiki: rainbowsix
, team: , id: BabaGusta, name: Yaksha Malagatti, wiki: rainbowsix
, team: , id: Bagel, name: Colby Smith, wiki: rainbowsix
, team: , id: BakaBryan, name: Bryan Tester, wiki: rainbowsix
, team: , id: Behavior, name: Hyeonsu Kim, wiki: rainbowsix
